Date	Friday, May 01, 2009,  12:36:07 PM
SystemName	Pathway
Well	Well D11
Plate	96 Well BD Falcon Imaging [353219]
Brand	BD Falcon
Wells	96
Objective	20X NA 075 Olympus Confocal
Offset	858993459
ZRelativeDisplacement	200.000000
Gain	15
SamplingRate Hz	12000
StartingFocusPosition microns	5401.570000
SearchSpan microns	2000.000000
DataPointsGathered	2000
Algorithm	DoubleThreshold
UseRollingAverageWidth	0
RollingAverageWidth	20
InFocusIndex	940



---DATA TABLE---
Index	Position	Intensity	InFocusPosition	SmoothedData
717	-2592	0.273954		
718	-2600	0.278812		
719	-2607	0.278002		
720	-2615	0.292577		
721	-2623	0.280270		
722	-2631	0.283508		
723	-2639	0.279298		
724	-2647	0.282051		
725	-2655	0.282861		
726	-2663	0.285128		
727	-2671	0.284966		
728	-2679	0.286747		
729	-2688	0.287395		
730	-2696	0.288043		
731	-2704	0.286423		
732	-2713	0.306666		
733	-2721	0.290958		
734	-2730	0.291281		
735	-2739	0.293710		
736	-2748	0.293710		
737	-2756	0.291281		
738	-2766	0.294844		
739	-2774	0.294358		
740	-2783	0.297759		
741	-2792	0.297273		
742	-2801	0.301160		
743	-2810	0.296949		
744	-2817	0.300836		
745	-2826	0.299864		
746	-2834	0.302941		
747	-2843	0.305370		
748	-2851	0.305532		
749	-2859	0.307799		
750	-2867	0.321564		
751	-2875	0.306828		
752	-2884	0.311686		
753	-2892	0.312333		
754	-2901	0.311686		
755	-2909	0.312010		
756	-2917	0.312333		
757	-2926	0.318811		
758	-2935	0.319297		
759	-2943	0.317354		
760	-2952	0.320592		
761	-2961	0.321078		
762	-2971	0.318649		
763	-2979	0.322698		
764	-2989	0.324641		
765	-2998	0.327232		
766	-3007	0.327718		
767	-3016	0.328851		
768	-3025	0.328365		
769	-3035	0.313629		
770	-3043	0.328365		
771	-3052	0.330471		
772	-3061	0.334681		
773	-3070	0.334033		
774	-3078	0.335491		
775	-3086	0.336624		
776	-3094	0.335653		
777	-3103	0.338406		
778	-3111	0.340025		
779	-3120	0.343750		
780	-3128	0.359458		
781	-3137	0.348284		
782	-3145	0.349903		
783	-3154	0.348770		
784	-3163	0.350389		
785	-3172	0.350875		
786	-3181	0.353790		
787	-3190	0.356057		
788	-3199	0.358000		
789	-3207	0.356381		
790	-3217	0.362373		
791	-3226	0.363830		
792	-3235	0.359943		
793	-3244	0.360105		
794	-3254	0.366259		
795	-3263	0.368040		
796	-3274	0.371441		
797	-3283	0.375166		
798	-3292	0.376623		
799	-3302	0.380348		
800	-3311	0.381481		
801	-3320	0.379700		
802	-3329	0.384234		
803	-3338	0.384072		
804	-3347	0.406906		
805	-3356	0.397675		
806	-3365	0.386987		
807	-3374	0.395894		
808	-3383	0.397513		
809	-3391	0.400266		
810	-3401	0.402209		
811	-3410	0.404962		
812	-3420	0.410144		
813	-3429	0.411278		
814	-3438	0.417108		
815	-3448	0.426662		
816	-3458	0.420670		
817	-3467	0.440913		
818	-3477	0.425043		
819	-3487	0.426338		
820	-3497	0.431035		
821	-3506	0.435083		
822	-3516	0.435569		
823	-3526	0.441399		
824	-3536	0.440103		
825	-3545	0.441561		
826	-3555	0.446257		
827	-3564	0.449819		
828	-3573	0.454192		
829	-3582	0.460022		
830	-3590	0.464070		
831	-3599	0.461965		
832	-3608	0.465689		
833	-3617	0.466661		
834	-3625	0.470224		
835	-3634	0.474434		
836	-3643	0.480588		
837	-3652	0.484312		
838	-3662	0.485770		
839	-3671	0.506174		
840	-3681	0.478968		
841	-3690	0.487389		
842	-3699	0.500668		
843	-3709	0.504231		
844	-3719	0.511032		
845	-3729	0.499535		
846	-3739	0.520101		
847	-3748	0.523825		
848	-3759	0.530465		
849	-3769	0.534190		
850	-3779	0.539695		
851	-3789	0.546011		
852	-3799	0.566253		
853	-3809	0.542286		
854	-3818	0.557023		
855	-3828	0.559128		
856	-3838	0.563015		
857	-3847	0.567711		
858	-3857	0.576618		
859	-3866	0.582447		
860	-3875	0.601880		
861	-3884	0.591840		
862	-3894	0.599289		
863	-3904	0.610139		
864	-3913	0.609653		
865	-3923	0.619046		
866	-3933	0.620503		
867	-3943	0.630219		
868	-3953	0.642689		
869	-3963	0.644146		
870	-3973	0.652081		
871	-3983	0.656453		
872	-3993	0.664065		
873	-4004	0.677505		
874	-4014	0.685764		
875	-4024	0.691270		
876	-4034	0.698558		
877	-4044	0.713618		
878	-4054	0.722039		
879	-4064	0.720905		
880	-4073	0.741471		
881	-4082	0.748921		
882	-4091	0.760256		
883	-4101	0.774183		
884	-4110	0.785681		
885	-4119	0.794425		
886	-4128	0.810295		
887	-4138	0.841388		
888	-4147	0.841226		
889	-4158	0.843169		
890	-4167	0.871346		
891	-4177	0.885111		
892	-4186	0.901953		
893	-4196	0.914098		
894	-4207	0.931912		
895	-4217	0.945676		
896	-4227	0.960089		
897	-4237	0.973206		
898	-4248	0.988752		
899	-4258	1.020654		
900	-4268	1.015472		
901	-4279	1.036848		
902	-4289	1.051585		
903	-4299	1.064702		
904	-4309	1.081705		
905	-4319	1.098385		
906	-4329	1.117170		
907	-4338	1.135631		
908	-4348	1.158141		
909	-4357	1.161379		
910	-4367	1.178059		
911	-4377	1.179355		
912	-4386	1.203969		
913	-4396	1.208504		
914	-4405	1.229718		
915	-4415	1.239920		
916	-4425	1.253037		
917	-4435	1.270041		
918	-4445	1.286235		
919	-4456	1.287044		
920	-4467	1.324938		
921	-4477	1.342913		
922	-4488	1.359269		
923	-4498	1.392467		
924	-4508	1.401212		
925	-4519	1.419187		
926	-4529	1.442830		
927	-4540	1.465178		
928	-4549	1.491736		
929	-4559	1.519590		
930	-4569	1.548901		
931	-4579	1.578859		
932	-4588	1.613191		
933	-4598	1.643797		
934	-4607	1.671165		
935	-4616	1.692379		
936	-4625	1.723148		
937	-4634	1.724281		
938	-4644	1.748410		
939	-4653	1.774483		
940	-4663	1.796345	1.796345	
941	-4672	1.789381		
942	-4682	1.767843		
943	-4692	1.742581		
944	-4702	1.704687		
945	-4711	1.659991		
946	-4722	1.603312		
947	-4731	1.566552		
948	-4741	1.516998		
949	-4751	1.480400		
950	-4762	1.449955		
951	-4772	1.419835		
952	-4782	1.395706		
953	-4792	1.374816		
954	-4802	1.355545		
955	-4812	1.336112		
956	-4821	1.322347		
957	-4831	1.315384		
958	-4840	1.313764		
959	-4850	1.301619		
960	-4859	1.286397		
961	-4868	1.272308		
962	-4877	1.248827		
963	-4887	1.243159		
964	-4897	1.229232		
965	-4906	1.208990		
966	-4916	1.199273		
967	-4926	1.182108		
968	-4936	1.172715		
969	-4947	1.156845		
970	-4957	1.137736		
971	-4967	1.131583		
972	-4977	1.119275		
973	-4988	1.109235		
974	-4998	1.102272		
975	-5008	1.091422		
976	-5019	1.083649		
977	-5029	1.081705		
978	-5039	1.068588		
979	-5048	1.059520		
980	-5059	1.050451		
981	-5068	1.045269		
982	-5077	1.029561		
983	-5087	1.006727		
984	-5096	1.005270		
985	-5105	1.005756		
986	-5114	1.000574		
987	-5123	0.994744		
988	-5132	0.985352		
989	-5141	0.975149		
990	-5150	0.968348		
991	-5160	0.963166		
992	-5170	0.953126		
993	-5179	0.948429		
994	-5188	0.951020		
995	-5198	0.933045		
996	-5208	0.928835		
997	-5218	0.919442		
998	-5227	0.918147		
999	-5237	0.913612		
1000	-5247	0.911345		
1001	-5257	0.907783		
1002	-5267	0.904382		
1003	-5277	0.900981		
1004	-5287	0.898876		
1005	-5297	0.902601		
1006	-5307	0.912641		
1007	-5317	0.875881		
1008	-5326	0.891751		
1009	-5336	0.892884		
1010	-5345	0.890455		
1011	-5355	0.891103		
1012	-5364	0.886893		
1013	-5374	0.891913		
1014	-5383	0.886569		
1015	-5393	0.886407		
1016	-5403	0.888998		
1017	-5413	0.887702		
1018	-5423	0.872966		
1019	-5433	0.905677		
1020	-5443	0.887540		
1021	-5454	0.890293		
1022	-5464	0.890455		
1023	-5475	0.892237		
1024	-5485	0.889322		
1025	-5496	0.894828		
1026	-5507	0.895151		
1027	-5517	0.899848		
1028	-5528	0.900333		
1029	-5539	0.892398		
1030	-5548	0.899200		
1031	-5559	0.891589		
1032	-5568	0.902925		
1033	-5578	0.906811		
1034	-5588	0.910536		
1035	-5597	0.914746		
1036	-5606	0.913289		
1037	-5616	0.917823		
1038	-5625	0.916527		
1039	-5635	0.923977		
1040	-5645	0.923491		
1041	-5654	0.929968		
1042	-5665	0.917337		
1043	-5674	0.939199		
1044	-5684	0.941466		
1045	-5694	0.942923		
1046	-5705	0.949401		
1047	-5715	0.951668		
1048	-5726	0.951182		
1049	-5736	0.958794		
1050	-5747	0.968834		
1051	-5758	0.963652		
1052	-5768	0.973368		
1053	-5779	0.989238		
1054	-5790	0.984704		
1055	-5801	0.994258		
1056	-5811	0.995392		
1057	-5822	1.003489		
1058	-5832	1.008509		
1059	-5843	1.014824		
1060	-5853	1.016930		
1061	-5863	1.026970		
1062	-5874	1.036524		
1063	-5884	1.042678		
1064	-5896	1.055147		
1065	-5906	1.063244		
1066	-5917	1.071827		
1067	-5928	1.083487		
1068	-5939	1.097575		
1069	-5951	1.101948		
1070	-5962	1.112474		
1071	-5973	1.120895		
1072	-5985	1.126886		
1073	-5997	1.132554		
1074	-6009	1.143890		
1075	-6020	1.149072		
1076	-6032	1.156359		
1077	-6043	1.172877		
1078	-6055	1.153121		
1079	-6066	1.169314		
1080	-6077	1.179679		
1081	-6087	1.193929		
1082	-6098	1.209475		
1083	-6109	1.208990		
1084	-6119	1.217087		
1085	-6130	1.227936		
1086	-6141	1.235710		
